2024-10-18 08:26:30: ('3', 5.55, 18.1, 8.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:26:30: 3, 5.55, 18.1, 8.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:27:01: ('4', 5.55, 18.19, 9.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:27:01: 4, 5.55, 18.19, 9.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:27:31: ('5', 7.21, 18.18, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:27:31: 5, 7.21, 18.18, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:28:02: ('6', 5.57, 18.18, 9.8, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:28:02: 6, 5.57, 18.18, 9.8, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:28:32: ('7', 5.56, 18.18, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:28:32: 7, 5.56, 18.18, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:57:50: ('1', 5.54, 18.18, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:57:50: 1, 5.54, 18.18, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:58:11: ('2', 5.55, 18.18, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:58:11: 2, 5.55, 18.18, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:58:42: ('3', 5.57, 18.1, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:58:42: 3, 5.57, 18.1, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:59:13: ('4', 5.55, 18.17, 9.4, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:59:13: 4, 5.55, 18.17, 9.4, 18.10.24, 2024-10-17 14:54:07
